Номер<br>ABCnet;Номер Заказа<br>(Дилер);Номер формы выхода;Модель;Версия Модели;Кузов;Цвет Кузова;Двигатель;Kоробка передач;Номер VIN;Версия;Дата заказа;Тип Тек. Рез.;Статус;Пользователь, создавший заказ;Пользователь, зарезервивавший заказ;Дата резервации до;Номер SIV;Отделка Салона;Опции 1;Опции 2;Опции 3;Опции 4;Опции 5;Опции 6;Опции 7;Опции 8;Опции 9;Опции 10;Опции 11;Опции 12;Опции 13;Опции 14;Опции 15;Опции 16;Опции 17;Опции 18;Опции 19;Опции 20;Опции 21;Опции 22;Опции 23;Опции 24;Опции 25;Опции 26;Опции 27;Опции 28;Опции 29;Опции 30;Дата Продажи;Сумма Счета;Номер Заказа Финального Клиента;Дилер;Номер Счета/Накл.;Местонахождение;Идентификационный Номер Покупателя;Тип Оплаты;Ожид.дата доставки;Место доставки;Дополнение;Тип Текущего Резервирования;Тип Предыдущего Резервирования;Год выпуска;Топливо;Комментарии;Subsidiary identification;Last Central DM Action;Dealer estimated delivery date;
297743;;336345;Партнер B9;Partner B9  VP2 Confort Pack 16 HDi 90 hp  / 13;*;WPP0 / BLANC BANQUISE;DV6ATED4 1600    HDI (  Diesel);MANUAL 5-SPEED;;1PB9AFG3N532A0;26/01/2011 12:22:00;SO Cancelled;CANCELLED;;itsa-ap-batch;;;YNFM / AMARANTE;NA01;RE01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3710;;;;;;3710-ООО "Леонар Авто";;SO Cancelled;SO (fixed);2010;Diesel;;;;;
50165360;;340854;Партнер M5;Partner VP XR 1.4 (karsan) / 1PM5GFTS1532A050/10;Van;WPP0 / BLANC BANQUISE;TU3A  1360CC  75HP  E (  Gasoline);MANUAL 5-SPEED;VF3GJKFWCBX504594;1PM5GFTS1532A050/10;14/12/2010 08:56:20;SO (Cancellable);SO Pending;D737659;itsa-ap-batch;25/03/2011;CH580338;VHFZ / NOIR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3710;;To Moscow;;Bank Guarantee (BG);22/04/2011;3710-ООО "Леонар Авто";;SO (Cancellable);SO in production;2011;Gasoline;;;;;
50158596;;331734;107 B0;107 5D TRENDY 1.0 2-TRONIC / E5;Hatchback 5 Doors;D8P0 / JAUNE CITRUS;998 MOTEUR TOYOTA ES (  Gasoline);2-TRONIC 5-SPEED;VF3PNCFB088555627;1PB0A5KRBP04A0;27/12/2010 08:56:17;Final Customer Order;SO Pending;D737659;itsa-ap-batch;;RC146247;3AFZ / GRIS 4;RE01;WL45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3710;;To Moscow;3710_7510732603;Bank Guarantee (BG);18/03/2011;3710-ООО "Леонар Авто";;Final Customer Order;SO-FCO in production;2011;Gasoline;;;;;
50165854;;341639;Партнер M5;Partner VU 800 TOLE 1.4E (karsan) / 2PM5ZVTS1532A050/10;Van;WPP0 / BLANC BANQUISE;TU3A  1360CC  75HP  E (  Gasoline);MANUAL 5-SPEED;VF3GCKFWCBX504375;2PM5ZVTS1532A050/10;14/12/2010 08:56:16;SO (Cancellable);SO Pending;D737659;itsa-ap-batch;25/03/2011;CH580341;N0FZ / GRIS 4;JO01;WD05;PX06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3710;;To Moscow;;Bank Guarantee (BG);29/04/2011;3710-ООО "Леонар Авто";;SO (Cancellable);SO in production;2011;Gasoline;;;;;
50165855;;341640;Партнер M5;Partner VU 800 TOLE 1.4E (karsan) / 2PM5ZVTS1532A050/10;Van;WPP0 / BLANC BANQUISE;TU3A  1360CC  75HP  E (  Gasoline);MANUAL 5-SPEED;VF3GCKFWCBX504376;2PM5ZVTS1532A050/10;14/12/2010 08:56:16;SO (Cancellable);SO Pending;D737659;itsa-ap-batch;25/03/2011;CH580342;N0FZ / GRIS 4;JO01;WD05;PX06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3710;;To Moscow;;Bank Guarantee (BG);29/04/2011;3710-ООО "Леонар Авто";;SO (Cancellable);SO in production;2011;Gasoline;;;;;
50168370;;344747;Боксер;FgTl 335 L3H2(120hp) / 2PU95KHDG609A070 / 10;FRG. EMP.LONG H2 16;WPP0 / BLANC BANQUISE;2188 HDI P.22DTE+ (  Diesel);MANUAL 6-SPEED;VF3YCBMFC11964384;2PU95KHDG609A070 / 10;31/01/2011 07:31:06;SO (Cancellable);SO Pending;D737659;itsa-ap-batch;25/04/2011;RC149669;VMFZ / GRIS 4;RK04;FX01;PX05;SE08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3710;;Transport;;Bank Guarantee (BG);08/04/2011;3710-ООО "Леонар Авто";;SO (Cancellable);SO Request;2011;Diesel;;;;;
50168372;;344749;Партнер M5;Partner VP XR 1.4 (karsan) / 1PM5GFTS1532A050/10;Van;WPP0 / BLANC BANQUISE;TU3A  1360CC  75HP  E (  Gasoline);MANUAL 5-SPEED;VF3GJKFWCBX505785;1PM5GFTS1532A050/10;14/01/2011 07:31:06;SO (Cancellable);SO Pending;D737659;itsa-ap-batch;25/05/2011;CH585033;VHFZ / NOIR;PC13;RE01;WD05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3710;;Port Depart.;;Bank Guarantee (BG);06/05/2011;3710-ООО "Леонар Авто";;SO (Cancellable);SO in production;2011;Gasoline;;;;;
50168373;;344750;Партнер M5;Partner VU 800 TOLE 1.4E (karsan) / 2PM5ZVTS1532A050/10;Van;WPP0 / BLANC BANQUISE;TU3A  1360CC  75HP  E (  Gasoline);MANUAL 5-SPEED;VF3GCKFWCBX505662;2PM5ZVTS1532A050/10;14/01/2011 07:31:06;SO (Cancellable);SO Pending;D737659;itsa-ap-batch;25/05/2011;CH585038;N0FZ / GRIS 4;RE01;WD05;PX06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3710;;Port Depart.;;Bank Guarantee (BG);06/05/2011;3710-ООО "Леонар Авто";;SO (Cancellable);SO in production;2011;Gasoline;;;;;
50168940;;345498;Партнер M5;Partner VP XR 1.4 (karsan) / 1PM5GFTS1532A050/10;Van;WPP0 / BLANC BANQUISE;TU3A  1360CC  75HP  E (  Gasoline);MANUAL 5-SPEED;VF3GJKFWCBX506145;1PM5GFTS1532A050/10;14/01/2011 07:31:06;SO (Cancellable);SO Pending;D737659;itsa-ap-batch;25/05/2011;CH585032;VHFZ / NOIR;RE01;WD05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3710;;Plant Departure;;Bank Guarantee (BG);06/05/2011;3710-ООО "Леонар Авто";;SO (Cancellable);SO in production;2011;Gasoline;;;;;
50167874;;344033;Партнер M5;Partner VP XR 1.4 (karsan) / 1PM5GFTS1532A050/10;Van;5VP0 / BLEU LINE;TU3A  1360CC  75HP  E (  Gasoline);MANUAL 5-SPEED;VF3GJKFWCBX505456;1PM5GFTS1532A050/10;14/01/2011 07:31:03;SO (Cancellable);SO Pending;D737659;itsa-ap-batch;25/05/2011;CH585034;VHFZ / NOIR;RE01;WD05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3710;;Port Depart.;;Bank Guarantee (BG);06/05/2011;3710-ООО "Леонар Авто";;SO (Cancellable);SO in production;2011;Gasoline;;;;;
